INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,SHOOTING
673,3115,Investigate Person,, ,2018,7,Tuesday,16,Part Three,,N
674,2629,Harassment,E5,551,2018,7,Tuesday,12,Part Two,GLENDOWER RD,N
675,3115,Investigate Person,D14,778,2018,7,Tuesday,16,Part Three,WASHINGTON ST,N
676,3831,Motor Vehicle Accident Response,C11,354,2018,7,Tuesday,14,Part Three,ADAMS ST,N
677,3201,Property Lost,C11,351,2018,4,Saturday,24,Part Three,LINCOLN ST,N
678,614,Larceny From Motor Vehicle,A1,117,2018,7,Tuesday,12,Part One,WASHINGTON ST,N
679,619,Larceny,E13,643,2018,7,Tuesday,8,Part One,CENTRE ST,N
680,3301,Verbal Disputes,B2,294,2018,7,Tuesday,16,Part Three,REGENT ST,N
681,2647,Other,, ,2018,7,Tuesday,16,Part Two,IRMA,N
682,3006,Medical Assistance,D4,270,2018,7,Tuesday,15,Part Three,NORTHAMPTON ST,N
683,3201,Property Lost,A1,114,2018,7,Tuesday,12,Part Three,ATLANTIC AVE,N
684,3410,Towed,D14,765,2018,7,Tuesday,12,Part Three,BEECHCROFT ST,N
685,1106,Confidence Games,B2,330,2018,6,Tuesday,24,Part Two,BLUE HILL AVE,N
686,3115,Investigate Person,E13,567,2018,7,Tuesday,15,Part Three,FOREST HILLS ST,N
687,619,Larceny,B2,261,2018,7,Tuesday,16,Part One,DUDLEY ST,N
688,3831,Motor Vehicle Accident Response,A1,100,2018,7,Tuesday,16,Part Three,STATE ST,N
689,619,Larceny,, ,2018,7,Monday,11,Part One,WASHINGTON ST,N
690,2619,Prisoner Related Incidents,C11,257,2018,7,Tuesday,14,Part Two,STOUGHTON ST,N
691,3301,Verbal Disputes,, ,2018,7,Tuesday,15,Part Three,HAZLETON ST,N
692,3810,Motor Vehicle Accident Response,, ,2018,7,Monday,24,Part Three,,N
693,3114,Investigate Property,E5,691,2018,7,Tuesday,16,Part Three,CENTRE ST,N
694,3831,Motor Vehicle Accident Response,E5,680,2018,7,Tuesday,15,Part Three,POPLAR ST,N
695,617,Larceny,E13,304,2018,7,Monday,8,Part One,WASHINGTON ST,N
696,1841,Drug Violation,D4,168,2018,7,Tuesday,15,Part Two,WASHINGTON ST,N
697,1842,Drug Violation,D4,168,2018,7,Tuesday,15,Part Two,WASHINGTON ST,N
698,1810,Drug Violation,D4,168,2018,7,Tuesday,15,Part Two,WASHINGTON ST,N
699,2629,Harassment,B2,330,2018,7,Tuesday,15,Part Two,SUPPLE RD,N
700,1845,Drug Violation,E18,494,2018,7,Tuesday,15,Part Two,CENTRAL AVE,N
701,1810,Drug Violation,E18,494,2018,7,Tuesday,15,Part Two,CENTRAL AVE,N
702,1848,Drug Violation,E18,494,2018,7,Tuesday,15,Part Two,CENTRAL AVE,N
703,1109,Fraud,C6,206,2018,7,Tuesday,8,Part Two,NORTHERN AVE,N
704,3114,Investigate Property,E18,520,2018,7,Tuesday,15,Part Three,HYDE PARK AVE,N
705,3114,Investigate Property,A1,120,2018,7,Tuesday,15,Part Three,PARK PLZ,N
706,3110,Police Service Incidents,E13,639,2018,7,Tuesday,12,Part Three,ROBINWOOD AVE,N
707,1107,Fraud,B3,432,2018,7,Tuesday,15,Part Two,NORFOLK ST,N
708,619,Larceny,E18,483,2018,6,Wednesday,24,Part One,RIVER ST,N
709,724,Auto Theft,D4,285,2018,7,Tuesday,15,Part One,WESTMINSTER ST,N
710,613,Larceny,D4,143,2018,7,Tuesday,13,Part One,BOYLSTON ST,N
711,613,Larceny,D4,143,2018,7,Tuesday,13,Part One,BOYLSTON ST,N
712,3402,Service,C6,936,2018,6,Tuesday,8,Part Three,D ST,N
713,301,Robbery,B2,279,2018,7,Monday,21,Part One,DUDLEY ST,N
714,706,Auto Theft,B2,279,2018,7,Monday,21,Part One,DUDLEY ST,N
715,3115,Investigate Person,C6,214,2018,7,Tuesday,14,Part Three,W BROADWAY,N
716,802,Simple Assault,A1,94,2018,7,Tuesday,14,Part Two,CLINTON ST,N
717,1501,Firearm Violations,C11,257,2018,7,Tuesday,14,Part Two,STOUGHTON ST,N
718,614,Larceny From Motor Vehicle,D4,620,2018,6,Friday,12,Part One,BURBANK ST,N
719,1842,Drug Violation,B2,179,2018,7,Tuesday,14,Part Two,GERARD ST,N
720,1810,Drug Violation,B2,179,2018,7,Tuesday,14,Part Two,GERARD ST,N
721,3006,Medical Assistance,B2,297,2018,7,Tuesday,13,Part Three,ROCKLAND ST,N
722,802,Simple Assault,, ,2018,7,Tuesday,12,Part Two,,N
723,3803,Motor Vehicle Accident Response,C11,335,2018,7,Tuesday,13,Part Three,CLARKSON ST,N
724,3802,Motor Vehicle Accident Response,D14,783,2018,7,Tuesday,7,Part Three,CAMBRIDGE ST,N
