INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,SHOOTING
105,3201,Property Lost,B3,435,2015,11,Sunday,12,Part Three,MILTON AVE,N
106,1106,Confidence Games,C6,914,2015,9,Tuesday,24,Part Two,COLONEL MICHAEL J  MCDONO,N
107,1106,Confidence Games,E5,721,2015,9,Wednesday,8,Part Two,CONSTANCE RD,N
108,1106,Confidence Games,B2,184,2015,12,Friday,8,Part Two,GROOM ST,N
109,1107,Fraud,B2,297,2015,9,Monday,14,Part Two,KENSINGTON PARK,N
110,1107,Fraud,B2,327,2015,9,Monday,13,Part Two,HOWARD AVE,N
111,1107,Fraud,C6,914,2015,9,Wednesday,12,Part Two,COLONEL MICHAEL J  MCDONO,N
112,619,Larceny,B2,911,2015,11,Wednesday,24,Part One,ANNUNCIATION RD,N
113,3207,Property Found,D4,272,2015,8,Sunday,24,Part Three,WASHINGTON ST,N
114,3115,Investigate Person,B2,180,2015,9,Tuesday,12,Part Three,EUSTIS ST,N
115,802,Simple Assault,B3,465,2015,12,Saturday,18,Part Two,HAVELOCK ST,N
116,1102,Fraud,B3,450,2015,11,Saturday,8,Part Two,NORFOLK ST,N
117,2629,Harassment,E5,710,2015,8,Thursday,13,Part Two,WASHINGTON ST,N
118,1106,Confidence Games,C11,345,2015,12,Wednesday,24,Part Two,ROBINSON ST,N
119,1102,Fraud,B2,320,2015,10,Wednesday,24,Part Two,HARTWELL ST,N
120,3201,Property Lost,B3,465,2015,11,Sunday,13,Part Three,JOHNSTON RD,N
121,3201,Property Lost,E18,501,2015,8,Tuesday,12,Part Three,AMERICAN LEGION HWY,N
122,617,Larceny,D14,762,2015,10,Wednesday,7,Part One,TRAPELO ST,N
123,3501,Missing Person Reported,B3,457,2015,6,Saturday,16,Part Three,DRUMMOND ST,N
124,3502,Missing Person Located,B3,457,2015,6,Saturday,16,Part Three,DRUMMOND ST,N
125,1107,Fraud,B2,911,2015,7,Saturday,11,Part Two,ANNUNCIATION RD,N
126,1109,Fraud,D4,153,2015,8,Tuesday,12,Part Two,BOYLSTON ST,N
127,1102,Fraud,B2,319,2015,11,Sunday,9,Part Two,CENTRE ST,N
128,1201,Embezzlement,B2,319,2015,11,Sunday,9,Part Two,CENTRE ST,N
129,3115,Investigate Person,C6,207,2015,12,Tuesday,24,Part Three,DRY DOCK AVE,N
130,3201,Property Lost,D14,776,2015,9,Friday,15,Part Three,LEAMINGTON RD,N
131,1102,Fraud,B3,434,2015,9,Wednesday,16,Part Two,STANTON ST,N
132,1102,Fraud,D4,159,2015,6,Monday,9,Part Two,DARTMOUTH ST,N
133,2629,Harassment,D14,758,2015,11,Friday,18,Part Two,WASHINGTON ST,N
134,616,Larceny,C6,913,2015,7,Tuesday,24,Part One,MOUNT VERNON ST,N
135,3201,Property Lost,E18,519,2015,12,Sunday,11,Part Three,PIERCE ST,N
136,3208,Property Lost,D4,143,2015,8,Saturday,7,Part Three,BOYLSTON ST,N
137,3831,Motor Vehicle Accident Response,B3,472,2015,7,Sunday,15,Part Three,FAVRE ST,N
138,3201,Property Lost,C6,936,2015,11,Sunday,24,Part Three,DALESSIO CT,N
139,1107,Fraud,B2,318,2015,11,Wednesday,9,Part Two,HUTCHINGS ST,N
140,3115,Investigate Person,D14,751,2015,6,Tuesday,16,Part Three,LAKE SHORE RD,N
141,3201,Property Lost,B3,448,2015,6,Tuesday,24,Part Three,SPENCER ST,N
142,2629,Harassment,D4,905,2015,6,Monday,12,Part Two,HARRISON ARCHWAYS,N
143,1107,Fraud,B3,439,2015,10,Wednesday,13,Part Two,BLUE HILL AVE,N
144,520,Residential Burglary,B2,602,2015,12,Tuesday,24,Part One,HUNTINGTON AVE,N
145,1106,Confidence Games,E5,711,2015,11,Tuesday,24,Part Two,WEYMOUTH AVE,N
146,619,Larceny,C11,356,2015,11,Wednesday,9,Part One,GENEVA AVE,N
147,3201,Property Lost,B2,291,2015,7,Friday,17,Part Three,COLUMBUS AVE,N
148,1001,Counterfeiting,C11,243,2015,9,Tuesday,7,Part Two,BAKERSFIELD ST,N
149,2619,Prisoner Related Incidents,D14,778,2015,9,Tuesday,24,Part Two,WASHINGTON ST,N
150,1107,Fraud,C11,396,2015,11,Sunday,8,Part Two,SANTUIT ST,N
151,3125,Warrant Arrests,C11,356,2015,12,Thursday,3,Part Three,GENEVA AVE,N
152,3115,Investigate Person,C11,356,2015,12,Thursday,3,Part Three,GENEVA AVE,N
153,3201,Property Lost,D4, ,2015,9,Tuesday,12,Part Three,,N
154,3201,Property Lost,A1,117,2015,12,Tuesday,12,Part Three,BOYLSTON ST,N
155,724,Auto Theft,E5,681,2015,12,Monday,12,Part One,WASHINGTON ST,N
156,617,Larceny,A1,120,2015,10,Tuesday,15,Part One,BOYLSTON ST,N
157,3115,Investigate Person,D4,143,2015,9,Tuesday,12,Part Three,BOYLSTON ST,N
158,619,Larceny,C11,352,2015,11,Sunday,24,Part One,ADAMS ST,N
159,1109,Fraud,E18,536,2015,10,Thursday,11,Part Two,LEIGHTON RD,N
160,1102,Fraud,A1,77,2015,12,Tuesday,13,Part Two,NEW SUDBURY ST,N
161,1402,Vandalism,A15,900,2015,9,Saturday,24,Part Two,WALFORD WAY,N
162,619,Larceny,B2,292,2015,9,Tuesday,12,Part One,KENILWORTH ST,N
163,1102,Fraud,C11,393,2015,10,Wednesday,24,Part Two,WRENTHAM ST,N
164,619,Larceny,D14,794,2015,7,Monday,19,Part One,GREYLOCK RD,N
165,1102,Fraud,C11,350,2015,12,Monday,13,Part Two,DORCHESTER AVE,N
166,619,Larceny,B2,276,2015,12,Monday,12,Part One,ALLSTATE RD,N
167,2647,Other,B3,444,2015,8,Saturday,24,Part Two,GLENWAY ST,N
168,619,Larceny,E18,555,2015,7,Wednesday,7,Part One,GREW AVE,N
169,3201,Property Lost,C11,235,2015,11,Sunday,13,Part Three,BUTTONWOOD ST,N
170,619,Larceny,B2,330,2015,12,Thursday,11,Part One,BLUE HILL AVE,N
171,619,Larceny,D4,167,2015,7,Wednesday,24,Part One,HARRISON AVE,N
172,2647,Other,C6,186,2015,12,Thursday,12,Part Two,ALLSTATE RD,N
173,3115,Investigate Person,C6,207,2015,8,Saturday,12,Part Three,SEAPORT BLVD,N
174,1106,Confidence Games,D14,784,2015,8,Saturday,12,Part Two,WARREN ST,N
175,616,Larceny,D4,627,2015,9,Tuesday,12,Part One,BOYLSTON ST,N
176,1107,Fraud,B2,325,2015,11,Sunday,12,Part Two,WOODCLIFF ST,N
177,1107,Fraud,A1,89,2015,8,Thursday,24,Part Two,NORTH ST,N
178,617,Larceny,A7,16,2015,11,Sunday,12,Part One,E EAGLE ST,N
179,1102,Fraud,D4,129,2015,11,Monday,18,Part Two,BOYLSTON ST,N
180,1102,Fraud,E18,478,2015,9,Thursday,11,Part Two,SEFTON ST,N
181,3115,Investigate Person,D4,271,2015,10,Thursday,16,Part Three,HARRISON AVE,N
182,3115,Investigate Person,D14,795,2015,9,Tuesday,8,Part Three,CAMBRIDGE ST,N
183,1102,Fraud,D14,768,2015,10,Tuesday,15,Part Two,PARSONS ST,N
184,3201,Property Lost,A7,28,2015,11,Wednesday,12,Part Three,HAVRE ST,N
185,3208,Property Lost,D4,273,2015,8,Friday,8,Part Three,WASHINGTON ST,N
186,619,Larceny,C6,913,2015,12,Thursday,24,Part One,WESTWIND RD,N
187,1106,Confidence Games,B3,421,2015,11,Sunday,24,Part Two,W SELDEN ST,N
188,619,Larceny,E13,573,2015,9,Sunday,12,Part One,GREEN ST,N
189,3125,Warrant Arrests,A1,105,2015,12,Tuesday,11,Part Three,FRUIT ST,N
190,802,Simple Assault,B2,326,2015,10,Saturday,16,Part Two,FAYSTON ST,N
191,619,Larceny,D14,811,2015,12,Tuesday,9,Part One,HOLMES ST,N
192,3201,Property Lost,C11,332,2015,9,Tuesday,9,Part Three,PAYSON AVE,N
193,1102,Fraud,D14,938,2015,10,Thursday,24,Part Two,FIDELIS WAY,N
194,3114,Investigate Property,B2,291,2015,7,Wednesday,24,Part Three,CEDAR ST,N
195,3201,Property Lost,A1,69,2015,11,Sunday,12,Part Three,RIVER ST,N
196,1106,Confidence Games,B3,465,2015,9,Thursday,16,Part Two,WILCOCK ST,N
197,2647,Other,B2,329,2015,11,Tuesday,13,Part Two,DEVON ST,N
198,670,License Plate Related Incidents,C11,383,2015,8,Thursday,24,Other,FRONTAGE RD,N
199,1106,Confidence Games,D4,158,2015,12,Monday,12,Part Two,W DEDHAM ST,N
200,2629,Harassment,B2,265,2016,7,Saturday,12,Part Two,COPELAND ST,N
201,3201,Property Lost,C11,249,2016,9,Tuesday,24,Part Three,SYDNEY ST,N
202,2647,Other,C11,356,2016,1,Friday,12,Part Two,CHARLES ST,N
203,1102,Fraud,C11,356,2016,12,Tuesday,24,Part Two,CHARLES ST,N
204,2629,Harassment,A1,88,2016,1,Friday,12,Part Two,CLARK ST,N
205,1102,Fraud,C11,817,2016,6,Thursday,24,Part Two,ARGYLE TER,N
206,3201,Property Lost,C11,332,2016,12,Wednesday,9,Part Three,TRULL ST,N
207,3201,Property Lost,C11,342,2016,12,Thursday,14,Part Three,GENEVA AVE,N
208,1107,Fraud,E5,713,2016,9,Thursday,24,Part Two,STIMSON ST,N
209,1102,Fraud,E18,492,2016,5,Saturday,17,Part Two,HUNTINGTON AVE,N
210,3114,Investigate Property,A1,105,2016,9,Thursday,24,Part Three,FRANKLIN ST,N
211,1102,Fraud,, ,2016,1,Tuesday,24,Part Two,LIBERTY DR,N
212,3114,Investigate Property,D4,141,2016,11,Tuesday,13,Part Three,COMMONWEALTH AVE,N
213,1107,Fraud,E5,822,2016,3,Wednesday,24,Part Two,RIDGECREST TER,N
214,2629,Harassment,D4,165,2016,6,Wednesday,11,Part Two,HARRISON AVE,N
215,3501,Missing Person Reported,B3,456,2016,5,Sunday,7,Part Three,ELLINGTON ST,N
216,1102,Fraud,A15,41,2016,8,Monday,24,Part Two,VINE ST,N
217,3114,Investigate Property,C6,178,2016,10,Wednesday,18,Part Three,MASSACHUSETTS AVE,N
218,2629,Harassment,A15,47,2016,6,Tuesday,8,Part Two,N MEAD ST,N
219,1102,Fraud,B3,425,2016,11,Tuesday,15,Part Two,FREMONT ST,N
220,1001,Counterfeiting,E13,912,2016,10,Wednesday,9,Part Two,HEATH ST,N
221,1106,Confidence Games,C11,356,2016,10,Monday,24,Part Two,FAULKNER ST,N
222,1107,Fraud,B3,444,2016,2,Monday,24,Part Two,VESTA RD,N
223,3109,Police Service Incidents,A1,167,2016,9,Thursday,18,Part Three,HARRISON AVE,N
224,1102,Fraud,D4,271,2016,5,Wednesday,24,Part Two,HARRISON AVE,N
225,1102,Fraud,C11,335,2016,2,Tuesday,11,Part Two,BOWDOIN ST,N
226,619,Larceny,E5,562,2016,9,Thursday,24,Part One,BASILE ST,N
227,2629,Harassment,D4,161,2016,1,Friday,24,Part Two,TREMONT ST,N
228,3201,Property Lost,D14,797,2016,6,Wednesday,12,Part Three,BUICK ST,N
229,1001,Counterfeiting,D14,798,2016,4,Friday,9,Part Two,COMMONWEALTH AVE,N
230,2647,Other,E18,923,2016,6,Wednesday,8,Part Two,PIERCE ST,N
231,3201,Property Lost,B3,445,2016,8,Monday,16,Part Three,YORK ST,N
232,1102,Fraud,A1,122,2016,1,Friday,24,Part Two,WASHINGTON ST,N
233,614,Larceny From Motor Vehicle,C11, ,2016,12,Thursday,4,Part One,DORCHESTER AVE,N
234,3115,Investigate Person,A1,61,2016,7,Friday,12,Part Three,NASHUA ST,N
235,1102,Fraud,C11,244,2016,10,Saturday,9,Part Two,PLEASANT ST,N
236,1102,Fraud,E18,507,2016,3,Tuesday,9,Part Two,HYDE PARK AVE,N
237,1107,Fraud,, ,2016,4,Friday,12,Part Two,ALPINE,N
238,1102,Fraud,D4,150,2016,10,Tuesday,24,Part Two,COLUMBUS AVE,N
239,617,Larceny,C6,214,2016,12,Thursday,12,Part One,W BROADWAY,N
240,3114,Investigate Property,C6,186,2016,8,Monday,8,Part Three,MASSACHUSETTS AVE,N
241,1102,Fraud,C11,341,2016,6,Wednesday,9,Part Two,SPEEDWELL ST,N
242,1102,Fraud,A1,124,2016,4,Sunday,9,Part Two,KNEELAND ST,N
243,1102,Fraud,E13,572,2016,12,Thursday,9,Part Two,IFFLEY RD,N
244,1106,Confidence Games,D4,624,2016,12,Thursday,12,Part Two,PETERBOROUGH ST,N
245,1102,Fraud,A1,124,2016,6,Monday,9,Part Two,HUDSON ST,N
246,1102,Fraud,E18,536,2016,10,Tuesday,9,Part Two,LEIGHTON RD,N
247,1102,Fraud,, ,2016,3,Saturday,9,Part Two,RUTHVEN,N
248,619,Larceny,A7,26,2016,4,Sunday,12,Part One,BORDER ST,N
249,3115,Investigate Person,E18,500,2016,10,Tuesday,11,Part Three,CANTERBURY ST,N
250,3115,Investigate Person,E18,520,2016,11,Wednesday,12,Part Three,HYDE PARK AVE,N
251,1106,Confidence Games,B3,423,2016,9,Thursday,9,Part Two,ARBORCREST TER,N
252,1107,Fraud,E13,647,2016,12,Tuesday,24,Part Two,ELM ST,N
253,1106,Confidence Games,E13,647,2016,12,Tuesday,24,Part Two,ELM ST,N
254,1102,Fraud,E13,644,2016,3,Thursday,9,Part Two,PRINCE ST,N
255,619,Larceny,D14,785,2016,10,Saturday,24,Part One,COMMONWEALTH AVE,N
256,1201,Embezzlement,D14,785,2016,10,Saturday,24,Part Two,COMMONWEALTH AVE,N
257,1102,Fraud,C11,402,2016,8,Friday,24,Part Two,BURT ST,N
258,2629,Harassment,D4,162,2016,3,Tuesday,8,Part Two,SHAWMUT AVE,N
259,1102,Fraud,B3,943,2016,6,Thursday,9,Part Two,WOODRUFF WAY,N
260,1107,Fraud,E5,557,2016,1,Friday,24,Part Two,POPLAR ST,N
261,1106,Confidence Games,B2,327,2016,5,Sunday,24,Part Two,HOWARD AVE,N
262,619,Larceny,A1,92,2016,5,Thursday,8,Part One,CITY HALL PLZ,N
263,3115,Investigate Person,B3,458,2016,3,Tuesday,9,Part Three,ELLINGTON ST,N
264,3502,Missing Person Located,C11,336,2016,12,Thursday,8,Part Three,GIBSON ST,N
265,2629,Harassment,A1,84,2016,8,Monday,13,Part Two,PRINCE ST,N
266,1109,Fraud,C11,334,2016,10,Saturday,8,Part Two,FERNALD TER,N
267,619,Larceny,C6,174,2016,12,Tuesday,24,Part One,DORCHESTER AVE,N
268,617,Larceny,C6,219,2016,4,Tuesday,24,Part One,THOMAS PARK,N
269,3106,Property Related Damage,A1,74,2016,10,Saturday,16,Part Three,NEW CHARDON ST,N
270,1501,Firearm Violations,C11,332,2016,1,Friday,24,Part Two,PAYSON AVE,N
271,1102,Fraud,A1,77,2016,4,Friday,12,Part Two,NEW SUDBURY ST,N
272,3115,Investigate Person,C11,396,2016,6,Wednesday,8,Part Three,SANTUIT ST,N
273,1102,Fraud,A15,900,2016,8,Tuesday,12,Part Two,MCNULTY CT,N
274,2629,Harassment,E5,662,2016,12,Saturday,23,Part Two,PRIMROSE ST,N
275,1106,Confidence Games,D4,619,2016,7,Monday,13,Part Two,WESTLAND AVE,N
276,1107,Fraud,C11,337,2016,12,Friday,12,Part Two,EVERTON ST,N
277,2629,Harassment,C11,341,2016,12,Thursday,9,Part Two,HOMES AVE,N
278,3125,Warrant Arrests,A1,77,2016,8,Tuesday,12,Part Three,NEW SUDBURY ST,N
279,619,Larceny,E5,729,2016,10,Saturday,24,Part One,BAKER ST,N
280,3502,Missing Person Located,E18,501,2016,4,Sunday,13,Part Three,HARDING RD,N
281,2629,Harassment,A7,25,2016,10,Thursday,24,Part Two,WHITE ST,N
282,1102,Fraud,E18,501,2016,2,Thursday,12,Part Two,HYDE PARK AVE,N
283,3114,Investigate Property,E18,520,2016,10,Friday,9,Part Three,HYDE PARK AVE,N
284,1102,Fraud,A1,89,2016,11,Wednesday,15,Part Two,COMMERCIAL ST,N
285,3201,Property Lost,E18,499,2016,9,Thursday,19,Part Three,CANTERBURY ST,N
286,3115,Investigate Person,C11,415,2016,1,Monday,24,Part Three,WASHINGTON ST,N
287,619,Larceny,E18,519,2016,12,Thursday,8,Part One,FAIRMOUNT AVE,N
288,3205,License Plate Related Incidents,E18,522,2016,11,Tuesday,17,Part Three,EASTON AVE,N
289,2629,Harassment,B2,265,2016,8,Monday,12,Part Two,COPELAND ST,N
290,1102,Fraud,A7,21,2016,3,Thursday,9,Part Two,MORRIS ST,N
291,1106,Confidence Games,B3,424,2016,10,Monday,9,Part Two,JAMESTOWN TER,N
292,1102,Fraud,C11,373,2016,4,Thursday,9,Part Two,FREEPORT ST,N
293,3201,Property Lost,B3,428,2016,2,Monday,14,Part Three,BLUE HILL AVE,N
294,619,Larceny,C6,191,2016,10,Saturday,12,Part One,DORCHESTER AVE,N
295,801,Simple Assault,A1, ,2016,9,Thursday,24,Part Two,CAMBRIDGE ST,N
296,619,Larceny,D14,805,2016,10,Monday,12,Part One,LEO M BIRMINGHAM PKWY,N
297,1402,Vandalism,E5,676,2016,9,Thursday,24,Part Two,RHODA ST,N
298,3115,Investigate Person,C11,333,2016,2,Friday,24,Part Three,STANLEY ST,N
299,2629,Harassment,A1,79,2016,8,Monday,19,Part Two,THACHER ST,N
300,1107,Fraud,E5,676,2016,11,Tuesday,12,Part Two,SOUTH ST,N
301,616,Larceny,D4,168,2016,6,Wednesday,12,Part One,FATHER FRANCIS J GILDAY S,N
302,1102,Fraud,B3,425,2016,2,Monday,9,Part Two,BLUE HILL AVE,N
303,2629,Harassment,E5,722,2016,10,Thursday,12,Part Two,BELLE AVE,N
304,1107,Fraud,E5,822,2016,2,Tuesday,9,Part Two,CROWN POINT DR,N
305,616,Larceny,A1,63,2016,8,Monday,18,Part One,LONGFELLOW PL,N
306,2629,Harassment,D4,134,2016,11,Saturday,17,Part Two,NEWBURY ST,N
307,619,Larceny,E5,562,2016,11,Thursday,18,Part One,FLORENCE ST,N
308,1106,Confidence Games,E18,517,2016,11,Monday,3,Part Two,TYLER ST,N
309,3115,Investigate Person,A1,120,2016,3,Monday,24,Part Three,PARK PLZ,N
310,1107,Fraud,B2,267,2016,10,Saturday,9,Part Two,DUDLEY ST,N
311,1102,Fraud,B2,182,2016,6,Saturday,24,Part Two,BURRELL ST,N
312,1102,Fraud,B2,239,2016,4,Monday,12,Part Two,RAMSEY ST,N
313,1102,Fraud,C11,257,2016,6,Sunday,19,Part Two,COLUMBIA RD,N
314,3125,Warrant Arrests,C11,396,2016,10,Monday,24,Part Three,WELLES AVE,N
315,1501,Firearm Violations,B2,329,2018,6,Monday,12,Part Two,BISHOP JOE L SMITH WAY,Y
316,1102,Fraud,A1,104,2016,1,Sunday,14,Part Two,FRANKLIN ST,N
317,3006,Medical Assistance,A1,64,2016,3,Thursday,8,Part Three,FRUIT ST,N
318,3114,Investigate Property,B3,448,2016,10,Sunday,8,Part Three,WHITFIELD ST,N
319,3125,Warrant Arrests,C6,177,2016,10,Monday,21,Part Three,NEW SUDBURY ST,N
320,2629,Harassment,B2,304,2016,4,Wednesday,12,Part Two,WASHINGTON ST,N
321,1107,Fraud,B2,280,2016,8,Tuesday,24,Part Two,DUDLEY ST,N
322,2629,Harassment,E5,551,2016,8,Monday,24,Part Two,GLENDOWER RD,N
323,619,Larceny,A7,24,2016,10,Saturday,8,Part One,EUTAW ST,N
324,1107,Fraud,E5,688,2016,6,Saturday,9,Part Two,PARKLAWN RD,N
325,1107,Fraud,E13,912,2016,8,Friday,24,Part Two,CENTRE ST,N
326,724,Auto Theft,E18,496,2016,4,Thursday,11,Part One,PROVIDENCE ST,N
327,3114,Investigate Property,E18,519,2016,12,Thursday,12,Part Three,LINCOLN ST,N
328,2629,Harassment,D4,146,2016,7,Wednesday,24,Part Two,COPLEY PL,N
329,2629,Harassment,B2,265,2016,9,Thursday,24,Part Two,MURRAY AVE,N
330,2647,Other,D14,767,2016,11,Tuesday,24,Part Two,LEO M BIRMINGHAM PKWY,N
331,3201,Property Lost,B2,612,2016,7,Monday,13,Part Three,LONGWOOD AVE,N
332,1107,Fraud,A15,38,2016,10,Saturday,24,Part Two,EIGHTH ST,N
333,619,Larceny,B3,453,2016,9,Wednesday,5,Part One,BRADLEE ST,N
334,1102,Fraud,E5,691,2016,11,Tuesday,12,Part Two,W BROADWAY,N
335,1001,Counterfeiting,E13,578,2016,8,Monday,24,Part Two,LAMARTINE ST,N
336,1106,Confidence Games,E5,687,2016,12,Tuesday,24,Part Two,IONA ST,N
337,619,Larceny,C6,914,2016,9,Monday,24,Part One,COLONEL MICHAEL J  MCDONO,N
338,2629,Harassment,B3,417,2016,6,Tuesday,24,Part Two,MORA ST,N
339,3115,Investigate Person,A15,52,2016,9,Thursday,24,Part Three,RUTHERFORD AVE,N
340,3201,Property Lost,B2,327,2016,6,Wednesday,12,Part Three,WAYLAND ST,N
341,619,Larceny,B2,267,2016,12,Saturday,24,Part One,MOUNT PLEASANT AVE,N
342,619,Larceny,C11,462,2016,10,Monday,24,Part One,BOWDOIN ST,N
343,2662,Ballistics,B3,448,2016,10,Saturday,8,Part Two,WHEATLAND AVE,N
344,3201,Property Lost,C6,177,2016,12,Thursday,24,Part Three,NEW SUDBURY ST,N
345,3115,Investigate Person,B2,318,2016,11,Wednesday,18,Part Three,HOMESTEAD ST,N
346,3201,Property Lost,D4,135,2016,8,Monday,17,Part Three,FAIRFIELD ST,N
347,2629,Harassment,A7,824,2016,10,Thursday,17,Part Two,LEXINGTON ST,N
348,1106,Confidence Games,D14,794,2016,1,Friday,12,Part Two,COMMONWEALTH AVE,N
349,619,Larceny,B2,306,2016,7,Friday,24,Part One,CODMAN PARK,N
350,3502,Missing Person Located,E13,572,2016,8,Wednesday,13,Part Three,COLUMBUS AVE,N
351,3201,Property Lost,E18,540,2016,9,Thursday,24,Part Three,RESERVATION RD,N
352,617,Larceny,E5,683,2016,10,Saturday,24,Part One,NEWBURG ST,N
353,2647,Other,B3,470,2016,7,Wednesday,24,Part Two,PRAIRIE ST,N
354,2629,Harassment,A1,167,2016,6,Sunday,16,Part Two,HARRISON AVE,N
355,1107,Fraud,E5,674,2016,11,Tuesday,24,Part Two,FARQUHAR ST,N
356,1107,Fraud,B2,182,2016,12,Wednesday,24,Part Two,MARSHFIELD ST,N
357,3201,Property Lost,B2,182,2016,12,Wednesday,24,Part Three,MARSHFIELD ST,N
358,3114,Investigate Property,E18,540,2016,11,Tuesday,24,Part Three,SUNNYSIDE ST,N
359,801,Simple Assault,A1,92,2016,6,Thursday,11,Part Two,CITY HALL PLZ,N
360,3114,Investigate Property,D4,594,2016,6,Wednesday,24,Part Three,HUNTINGTON AVE,N
361,3201,Property Lost,B2,901,2016,7,Thursday,24,Part Three,MCGREEVEY WAY,N
362,1102,Fraud,D4,131,2016,2,Thursday,9,Part Two,BERKELEY ST,N
363,2647,Other,E13,509,2016,5,Wednesday,7,Part Two,WALK HILL ST,N
364,3115,Investigate Person,D4,594,2016,9,Monday,12,Part Three,MASSACHUSETTS AVE,N
365,3115,Investigate Person,E13,572,2016,2,Monday,12,Part Three,COLUMBUS AVE,N
366,3501,Missing Person Reported,E13,572,2016,2,Monday,12,Part Three,COLUMBUS AVE,N
367,3114,Investigate Property,C11,388,2016,12,Friday,8,Part Three,ADAMS ST,N
368,3114,Investigate Property,C11,388,2016,6,Wednesday,15,Part Three,ADAMS ST,N
369,619,Larceny,C11,340,2016,11,Friday,2,Part One,DRAPER ST,N
370,617,Larceny,A7,14,2016,12,Monday,8,Part One,MOORE ST,N
371,2629,Harassment,A1,127,2016,9,Friday,9,Part Two,WASHINGTON ST,N
372,3114,Investigate Property,C11,397,2016,3,Thursday,24,Part Three,MELBOURNE ST,N
373,619,Larceny,E18,503,2016,10,Monday,14,Part One,AMERICAN LEGION HWY,N
374,1106,Confidence Games,D14,800,2016,7,Sunday,24,Part Two,PRATT ST,N
375,802,Simple Assault,B2,328,2016,9,Thursday,7,Part Two,LAWRENCE AVE,N
376,3201,Property Lost,D4,170,2016,5,Sunday,12,Part Three,E SPRINGFIELD ST,N
377,2647,Other,A15,45,2016,5,Wednesday,12,Part Two,COOK ST,N
378,1107,Fraud,B3,474,2016,5,Wednesday,12,Part Two,ORLANDO ST,N
379,2629,Harassment,D14,794,2016,12,Wednesday,22,Part Two,COMMONWEALTH AVE,N
380,3102,Other,E5,551,2016,7,Saturday,12,Part Three,BRANCH AVE,N
381,1106,Confidence Games,D14,794,2016,7,Thursday,24,Part Two,GLENVILLE AVE,N
382,3115,Investigate Person,E13,567,2016,10,Saturday,24,Part Three,FOREST HILLS ST,N
383,801,Simple Assault,A1,102,2016,4,Monday,11,Part Two,WINTER ST,N
384,1107,Fraud,C11,376,2016,12,Thursday,24,Part Two,LORENZO ST,N
385,1102,Fraud,E18,556,2016,10,Tuesday,24,Part Two,PINEDALE RD,N
386,1102,Fraud,E18,519,2016,6,Wednesday,15,Part Two,RIVER ST,N
387,614,Larceny From Motor Vehicle,A15,900,2016,2,Monday,12,Part One,COREY ST,N
388,3201,Property Lost,B2,612,2016,5,Tuesday,9,Part Three,FRANCIS ST,N
389,3201,Property Lost,D4,275,2016,10,Saturday,24,Part Three,HAMMOND ST,N
390,3201,Property Lost,E18,520,2016,11,Saturday,24,Part Three,HYDE PARK AVE,N
391,802,Simple Assault,D14,799,2016,11,Thursday,12,Part Two,GARDNER ST,N
392,802,Simple Assault,D4, ,2016,5,Monday,9,Part Two,GAINSBOROUGH ST,N
393,3201,Property Lost,D14,778,2016,6,Thursday,7,Part Three,WASHINGTON ST,N
394,2629,Harassment,B2,239,2016,12,Thursday,17,Part Two,COLUMBIA RD,N
395,1001,Counterfeiting,B2,593,2016,9,Tuesday,9,Part Two,BROOKLINE AVE,N
396,1106,Confidence Games,D14,751,2016,12,Thursday,8,Part Two,LAKE ST,N
397,3201,Property Lost,A7,35,2016,1,Sunday,12,Part Three,SUMNER ST,N
398,3114,Investigate Property,E5,705,2016,10,Monday,24,Part Three,WASHINGTON ST,N
399,2629,Harassment,A1,80,2016,9,Thursday,24,Part Two,HULL ST,N
400,3201,Property Lost,C11,393,2017,7,Thursday,24,Part Three,DRACUT ST,N
401,2622,Other,C11,395,2017,7,Saturday,12,Part Two,DORCHESTER AVE,N
402,619,Larceny,A1,77,2017,8,Sunday,21,Part One,NEW SUDBURY ST,N
403,724,Auto Theft,C11,358,2017,7,Thursday,9,Part One,PARK ST,N
404,617,Larceny,C11, ,2017,7,Saturday,12,Part One,WILLIAM T MORRISSEY BLVD,N
405,2629,Harassment,A1,123,2017,1,Sunday,24,Part Two,KNEELAND ST,N
406,2629,Harassment,A1,91,2017,8,Tuesday,24,Part Two,ATLANTIC AVE,N
407,3831,Motor Vehicle Accident Response,, ,2017,6,Tuesday,14,Part Three,,N
408,3620,Other,D4,153,2017,10,Monday,11,Part Three,PEMBROKE ST,N
409,801,Simple Assault,A1,84,2017,5,Sunday,2,Part Two,PRINCE ST,N
410,3115,Investigate Person,E5,691,2017,10,Thursday,9,Part Three,CENTRE ST,N
411,1107,Fraud,E13,644,2017,3,Sunday,24,Part Two,ORCHARD ST,N
412,619,Larceny,A7,25,2017,7,Saturday,13,Part One,BROOKS ST,N
413,3125,Warrant Arrests,C11,388,2017,8,Saturday,21,Part Three,DORCHESTER AVE,N
414,3201,Property Lost,A1,94,2017,10,Thursday,17,Part Three,FANEUIL HALL MARKETPLACE,N
415,1107,Fraud,C6,200,2017,12,Friday,24,Part Two,W BROADWAY,N
416,3201,Property Lost,E18,523,2017,11,Thursday,8,Part Three,HYDE PARK AVE,N
417,1102,Fraud,C6,207,2017,9,Friday,24,Part Two,PIER 4 BLVD,N
